no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
79,JALAN SUNGAI PINANG,SEK. 9(w),,GEORGE TOWN,"CYCLE & CARRIAGE SUNGAI PINANG, 79, JALAN SUNGAI PINANG, 10150 GEORGETOWN  PULAU PINANG",,4,100.32148605,07,831,"5.404038926857123, 100.3214860452381",3,,P.050 - JELUTONG,5.40403893,2,04,1,3,40040,1767052800000,DTL GEORGE TOWN SEK. 9(w),,N.29,CYCLE & CARRIAGE BINTANG BERHAD,070444025,5,P.050,,PULAU PINANG,N.29 - DATOK KERAMAT,CYCLE & CARRIAGE SUNGAI PINANG,LA 12/1/16/929 (D-EVCS),DTL,TIMOR LAUT,246,30/8/2024 - 29/8/2034,71,1,100.32148604500009,5.404038927000045
,PERSIARAN GURNEY,SEK. 1,,GEORGE TOWN,"170-06-01, PLAZA GURNEY, PERSIARAN GURNEY, TANJUNG TOKONG, 10250 GEORGETOWN PULAU PINANG",,1,100.30959222,07,851,"5.4366833444954095, 100.30959222139698",0,TANJUNG TOKONG,P.048 - BUKIT BENDERA,5.43668334,4,04,1,0,40041,1767052800000,DTL GEORGE TOWN SEK. 1,,N.25,TESLA SDN BHD,070444001,4,P.048,170-06-01,PULAU PINANG,N.25 - PULAU TIKUS,PLAZA GURNEY,LA 12/1/16/983 (D-EVCS),DTL,TIMOR LAUT,250,29/8/2024 - 28/8/2034,72,1,100.30959222100006,5.436683344000073
NO. 3,LORONG IRAMA 2, ,,MUKIM 1,"BERMAZ XPENG SHOWROOM, NO. 3, LORONG IRAMA 2, TAMAN IRAMA, 13700 PERAI PULAU PINANG",,1,100.40559509,07,854,"5.376528818868084, 100.40559509395105",1,TAMAN IRAMA,P.044 - PERMATANG PAUH,5.37652882,1,01,1,1,10024,1767052800000,SPT MUKIM 1,,N.10,BERMAZ XPENG SDN. BHD.,070101000,2,P.044,,PULAU PINANG,N.10 - SEBERANG JAYA,BERMAZ XPENG SHOWROOM,LA 12/1/16/997 (D-EVCS),SPT,SEBERANG PERAI TENGAH,22,18/10/2024 - 17/10/2034,73,0,100.40559509400003,5.376528819000043
,, ,,MUKIM 12,"MUZE (PENANG INTERNATIONAL COMMERCIAL CITY), LOT 72437, MUKIM 12, 11950 BARAT DAYA PULAU PINANG",,4,100.28513963,07,855,"5.330651673144987, 100.28513962658789",3,,P.052 - BAYAN BARU,5.33065167,2,05,0,3,50005,1767052800000,DBD MUKIM 12,,N.36,BLH ECOENERGY SDN BHD,070512000,5,P.052,LOT 72437,PULAU PINANG,N.36 - PANTAI JEREJAK,MUZE (PENANG INTERNATIONAL COMMERCIAL CITY),LA 12/1/16/1082 (D-EVCS),DBD,BARAT DAYA,60,9/10/2024 - 8/10/2034,74,1,100.28513962700004,5.330651673000034
168A ,PERSIARAN GURNEY,SEK. 1,,GEORGE TOWN,"G HOTEL GURNEY, 168A PERSIARAN GURNEY, 10250 GEORGETOWN  PULAU PINANG",,4,100.31054667,07,882,"5.437728383425755, 100.31054666521547",4,,P.048 - BUKIT BENDERA,5.43772838,0,04,1,4,40042,1767052800000,DTL GEORGE TOWN SEK. 1,,N.25,CHARGEHERE EV SOLUTION SDN BHD,070444001,4,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,G HOTEL GURNEY,LA 12/1/16/991 (D-EVCS),DTL,TIMOR LAUT,80,29/10/2024 - 28/10/2034,75,0,100.31054666500006,5.437728383000035
,JALAN SERI TANJUNG PINANG 1,SEK. 1,,TANJONG TOKONG,"I-SANTORINI CONDOMINIUM, JALAN SERI TANJUNG PINANG 1, 10470 TANJUNG TOKONG  PULAU PINANG",,4,100.30841559,07,890,"5.454886745139879, 100.30841559315041",4,TANJUNG TOKONG,P.048 - BUKIT BENDERA,5.45488675,0,04,1,4,40043,1767052800000,DTL TANJONG TOKONG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070447001,4,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,I-SANTORINI CONDOMINIUM,LA 12/1/16/1047 (D-EVCS),DTL,TIMOR LAUT,44,29/10/2024 - 28/10/2034,76,0,100.30841559300006,5.454886745000067
,LEBUH SUNGAI PINANG 2 ,SEK. 8,,GEORGE TOWN,"THE SPRING CONDOMINIUM 1-01-01, LEBUH SUNGAI PINANG 2 JELUTONG, 11600 PULAU PINANG",,3,100.32606092,07,898,"5.397105763885343, 100.32606092473756",3,,P.050 - JELUTONG,5.39710576,0,04,0,3,40044,1767052800000,DTL GEORGE TOWN SEK. 8,,N.30,CHARGEHERE EV SOLUTION SDN BHD,070444008,3,P.050, 1-01-01,PULAU PINANG,N.30 - SUNGAI PINANG,THE SPRING CONDOMINIUM,LA 12/1/16/1076 (D-EVCS),DTL,TIMOR LAUT,33,29/10/2024 - 28/10/2034,77,0,100.32606092500004,5.3971057640000595
17,JALAN KELAWEI,SEK. 4,,GEORGE TOWN,"AMBANK KELAWEI, GROUND FLOOR PARKING, 17, JALAN KELAWEI, TIMOR LAUT, 10250 BANDAR GEORGETOWN  PULAU PINANG",,1,100.31778432,07,929,"5.429647773020016, 100.31778432154785",0,,P.048 - BUKIT BENDERA,5.42964777,1,04,1,0,40045,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,GENTARI GREEN MOBILITY SDN. BHD.,070444004,1,P.048,GROUND FLOOR PARKING,PULAU PINANG,N.25 - PULAU TIKUS,AMBANK KELAWEI,LA 12/1/16/1142 (D-EVCS),DTL,TIMOR LAUT,60,23/10/2024 - 22/10/2034,78,1,100.31778432100003,5.429647773000056
,CANGKAT MINDEN JALAN 1, ,,MUKIM 13,"MIDDLETON BY BSG PROPERTY, CANGKAT MINDEN JALAN 1, 11700 GELUGOR  PULAU PINANG",,2,100.30118599,07,933,"5.36779291000557, 100.30118599265225",2,,P.052 - BAYAN BARU,5.36779291,0,04,1,2,40046,1767052800000,DTL MUKIM 13,,N.35,GREENERGY EV SDN BHD,070401000,2,P.052,,PULAU PINANG,N.35 - BATU UBAN,MIDDLETON BY BSG PROPERTY,LA 12/1/16/981 (D-EVCS),DTL,TIMOR LAUT,44,4/10/2024 - 3/10/2034,79,0,100.30118599300005,5.367792910000048
NO.1,LEBUH LIGHT,SEK. 20,,GEORGE TOWN,"NO.1, LEBUH LIGHT, GEORGETOWN, 10200 GEORGETOWN  PULAU PINANG",,1,100.34208138,07,935,"5.419834210600478, 100.34208138436853",1,,P.049 - TANJONG,5.41983421,0,04,1,1,40047,1767052800000,DTL GEORGE TOWN SEK. 20,,N.26,HLB REALTY SDN. BHD.,070444020,1,P.049,,PULAU PINANG,N.26 - PADANG KOTA,HONG LEONG BANK LIGHT STREET,LA 12/1/16/1006 (D-EVCS),DTL,TIMOR LAUT,22,7/10/2024 - 6/10/2034,80,0,100.34208138400004,5.419834211000023
NO.3,JALAN SUNGAI PINANG,SEK. 9(w),,GEORGE TOWN,"AUTO BAVARIA SUNGAI PINANG, NO.3, JALAN SUNGAI PINANG, TAMAN LITA, 10150 GEORGETOWN  PULAU PINANG",,1,100.32327388,07,943,"5.401929345534514, 100.32327388097852",0, TAMAN LITA,P.050 - JELUTONG,5.40192935,2,04,0,0,40048,1767052800000,DTL GEORGE TOWN SEK. 9(w),,N.30,SIME DARBY AUTO BAVARIA SDN. BHD.,070444025,2,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,AUTO BAVARIA SUNGAI PINANG,LA 12/1/16/1140 (D-EVCS),DTL,TIMOR LAUT,30,23/10/2024 - 22/10/2034,81,1,100.32327388100003,5.401929346000031
617,JALAN BALIK PULAU,SEK. 4,,AYER ITAM,"MAJLIS BANDARAYA PULAU PINANG (MBPP), JALAN BALIK PULAU, PEKAN AYER HITAM, 11500 AYER HITAM, PULAU PINANG",,1,100.27654741,07,959,"5.401559020670303, 100.27654740829966",0,PEKAN AIR ITAM,P.051 - BUKIT GELUGOR,5.40155902,2,04,1,0,40090,1771200000000,DTL AYER ITAM SEK. 4,,N.33,CHARGEHERE EV SOLUTION SDN BHD,070440004,2,P.051,,PULAU PINANG,N.33 - AIR ITAM,MBPP JALAN PASAR (KEK LOK SI),LA 12/1/16/1115 (D-EVCS),DTL,TIMOR LAUT,60,21/11/2024 - 20/11/2034,82,1,100.27654740800006,5.4015590210000255
NO. 8,LEBUH SUNGAI PINANG 1,SEK. 8,,GEORGE TOWN,"MBPP KARPAL SINGH NO 8 LEBUH SUNGAI PINANG 1, 11600 JELUTONG PULAU PINANG",,1,100.3292029,07,960,"5.39746939747285, 100.32920289752181",0,,P.050 - JELUTONG,5.3974694,2,04,1,0,40049,1767052800000,DTL GEORGE TOWN SEK. 8,,N.30,CHARGEHERE EV SOLUTION SDN BHD,070444008,2,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,MBPP KARPAL SINGH,LA 12/1/16/1119 (D-EVCS),DTL,TIMOR LAUT,60,21/11/2024 - 20/11/2034,83,1,100.32920289700007,5.397469397000066
,LINTANG MAYANG PASIR 3, ,,MUKIM 12,"PASAR BAYAN BARU MBPP LINTANG MAYANG PASIR 3 , BANDAR BAYAN BARU, 11900  BAYAN LEPAS PULAU PINANG",,1,100.2870183,07,961,"5.324632256919656, 100.28701829805688",0,,P.052 - BAYAN BARU,5.32463226,2,05,1,0,50006,1767052800000,DBD MUKIM 12,,N.36,CHARGEHERE EV SOLUTION SDN BHD,070512000,2,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,PASAR BAYAN BARU MBPP,LA 12/1/16/1125 (D-EVCS),DBD,BARAT DAYA,60,21/11/2024 - 20/11/2034,84,1,100.28701829800008,5.324632257000076
,LEBUH PASAR,SEK. 23,,GEORGE TOWN,"LITTLE INDIA (MBPP), LEBUH PASAR, 10450 GEORGETOWN  PULAU PINANG",,2,100.34061389,07,962,"5.415961977477019, 100.3406138898355",2,,P.049 - TANJONG,5.41596198,0,04,1,2,40050,1767052800000,DTL GEORGE TOWN SEK. 23,,N.27,CHARGEHERE EV SOLUTION SDN BHD,070444023,2,P.049,,PULAU PINANG,N.27 - PENGKALAN KOTA,MBPP LITTLE INDIA,LA 12/1/16/1135 (D-EVCS),DTL,TIMOR LAUT,44,21/11/2024 - 20/11/2034,85,0,100.34061389000004,5.415961977000052
,JALAN BUNGA PUDAK, ,,TANJONG BUNGAH,"PEARL VIEW CONDOMINIUM, 10A-G-1, JALAN BUNGA PUDAK, TG. BUNGAH, 11200 TANJUNG BUNGAH  PULAU PINANG",,2,100.29574684,07,966,"5.464431397132727, 100.29572743769693",2,,P.048 - BUKIT BENDERA,5.4643344,0,04,1,2,40051,1767052800000,DTL TANJONG BUNGAH,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070446000,2,P.048,10A-G-1,PULAU PINANG,N.22 - TANJONG BUNGA,"PEARL VIEW CONDOMINIUM, ",LA 12/1/16/1176 (D-EVCS),DTL,TIMOR LAUT,22,21/11/2024 - 20/11/2034,86,0,100.29574683900006,5.464334403000066
,JALAN CANTEK,SEK. 3,,BUTTERWORTH,"ELEMENT GARDEN, PARKING LOT (2,3,4,5), TAMAN RESIDENSI SERI CANTIK 1, 13400 BUTTERWORTH  PULAU PINANG",,4,100.38249781,07,968,"5.41782934984947, 100.38249780958175",4,TAMAN RESIDENSI SERI CANTIK 1,P.043 - BAGAN,5.41782935,0,02,1,4,20007,1767052800000,SPU BUTTERWORTH SEK. 3,,N.08,CHARGEHERE EV SOLUTION SDN BHD,070240003,4,P.043,"PARKING LOT (2,3,4,5)",PULAU PINANG,N.08 - BAGAN JERMAL,ELEMENT GARDEN,LA 12/1/16/1181 (D-EVCS),SPU,SEBERANG PERAI UTARA,44,22/11/2024 - 21/11/2034,87,0,100.38249781000007,5.417829350000034
PARKING BLOCK D,JALAN CHEE SENG 13, ,,TANJONG BUNGAH,"TAMAN LEADER CONDOMINIUM, PARKING BLOCK D, JALAN CHEE SENG 13, 11200 TANJUNG BUNGAH  PULAU PINANG",,1,100.27708398,07,969,"5.463717842393896, 100.27708397780819",0,,P.048 - BUKIT BENDERA,5.46371784,1,04,1,0,40052,1767052800000,DTL TANJONG BUNGAH,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070446000,1,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,TAMAN LEADER CONDOMINIUM,LA 12/1/16/1182 (D-EVCS),DTL,TIMOR LAUT,40,22/11/2024 - 21/11/2034,88,1,100.27708397800006,5.463717842000051
,JALAN TANJUNG BUNGAH,SEK. 1,,BATU FERRINGGI,"HARD ROCK HOTEL, PENANG, BATU FERRINGHI BEACH,  11100 BATU FERRINGHI PULAU PINANG",,2,100.24186785,07,997,"5.468014022708983, 100.24186784980327",2,BATU FERRINGHI BEACH,P.048 - BUKIT BENDERA,5.46801402,0,04,1,2,40053,1767052800000,DTL BATU FERRINGGI SEK. 1,,N.22,GREEN EV CHARGE SDN BHD,070441001,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,HARD ROCK HOTEL,LA 12/1/16/1055 (D-EVCS),DTL,TIMOR LAUT,44,27/11/2024 - 26/11/2034,89,0,100.24186785000006,5.468014023000023
108C,JALAN TUN DR AWANG, ,,MUKIM 12,"SETIA WELCOME CENTRE SPICE, OUTDOOR PARKING (NEAR LOBBY ENTRANCE),  11900 BAYAN LEPAS  PULAU PINANG",,1,100.27911273,07,1000,"5.329380478022887, 100.27911272656631",1,,P.052 - BAYAN BARU,5.32938048,0,05,1,1,50007,1767052800000,DBD MUKIM 12,,N.36,GREEN EV CHARGE SDN BHD,070512000,1,P.052,"OUTDOOR PARKING (NEAR LOBBY ENTRANCE),",PULAU PINANG,N.36 - PANTAI JEREJAK,SETIA WELCOME CENTRE SPICE,LA 12/1/16/1064 (D-EVCS),DBD,BARAT DAYA,3.7,27/11/2024 - 26/11/2034,90,0,100.27911272700004,5.3293804780000755
71,JALAN ICON CITY, ,,MUKIM 11,"ICONIC HOTEL, LEVEL 3 PARKING, 71 JALAN ICON CITY, ICON CITY , 14000 BUKIT MERTAJAM PULAU PINANG",,2,100.43283471,07,1009,"5.342035370832565, 100.43283471110217",2,ICON CITY,P.046 - BATU KAWAN,5.34203537,0,01,1,2,10025,1767052800000,SPT MUKIM 11,,N.17,LUCKY 888 SDN BHD,070111000,2,P.046,LEVEL 3 PARKING,PULAU PINANG,N.17 - BUKIT TENGAH,"ICONIC HOTEL,",LA 12/1/16/1178 (D-EVCS),SPT,SEBERANG PERAI TENGAH,44,26/11/2024 - 25/11/2034,91,0,100.43283471100005,5.342035371000065
,PERSIARAN LENGKUAS 1,SEK. 2,,TANJONG TOKONG,"TANJUNG PARK CONDOMINIUM (A), PERSIARAN LENGKUAS 1, 10470 TANJUNG TOKONG PULAU PINANG",,3,100.3045393,07,1033,"5.450077675237713, 100.30453930161919",3,,P.048 - BUKIT BENDERA,5.45007768,0,04,1,3,40054,1767052800000,DTL TANJONG TOKONG SEK. 2,,N.25,CHARGEHERE EV SOLUTION SDN BHD,070447002,3,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,TANJUNG PARK CONDOMINIUM (A),LA 12/1/16/1260 (D-EVCS),DTL,TIMOR LAUT,33,26/12/2024 - 25/12/2034,92,0,100.30453930200008,5.4500776750000455
,LORONG SERI TANJUNG PINANG,SEK. 1,,TANJONG PINANG,"QUAYSIDE SEAFRONT RESORT CONDOMINIUM, LORONG SERI TANJUNG PINANG, 10470 TANJONG TOKONG  PULAU PINANG",,3,100.31201904,07,1034,"5.45931188572405, 100.31201903678908",3,,P.048 - BUKIT BENDERA,5.45931189,0,04,1,3,40055,1767052800000,DTL TANJONG PINANG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070448001,3,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,QUAYSIDE SEAFRONT RESORT CONDOMINIUM,LA 12/1/16/1268 (D-EVCS),DTL,TIMOR LAUT,33,26/12/2024 - 25/12/2034,93,0,100.31201903700008,5.459311886000023
171,JALAN C.Y.CHOY,SEK. 11(e),,GEORGE TOWN,"LOT. 17, 18 & 19, VISITOR PARKING, CYC HERITAGE HOTEL, 171 , JALAN C.Y.CHOY, 10300 GEORGETOWN  PULAU PINANG",,3,100.3314241,07,1045,"5.408715558440145, 100.33142410223675",3,,P.049 - TANJONG,5.40871556,0,04,1,3,40056,1767052800000,DTL GEORGE TOWN SEK. 11(e),,N.27,CHARGEHERE EV SOLUTION SDN BHD,070444011,3,P.049,"LOT. 17, 18 & 19, VISITOR PARKING",PULAU PINANG,N.27 - PENGKALAN KOTA,CYC HERITAGE HOTEL,LA 12/1/16/1242 (D-EVCS),DTL,TIMOR LAUT,33,26/12/2024 - 25/12/2034,94,0,100.33142410200008,5.40871555800004
,LORONG BAYAN INDAH 2, ,,MUKIM 12,"PEJABAT PENGURUSAN BAY AVENUE H-12-3, LORONG BAYAN INDAH 2, 11900 BAYAN LEPAS  PULAU PINANG",,1,100.30795161,07,1057,"5.336437202164468, 100.30795161411596",0,,P.052 - BAYAN BARU,5.3364372,1,05,1,0,50008,1767052800000,DBD MUKIM 12,,N.36,EV CONNECTION SDN BHD,070512000,1,P.052,H-12-3,PULAU PINANG,N.36 - PANTAI JEREJAK,PEJABAT PENGURUSAN BAY AVENUE ,LA 12/1/16/1274 (D-EVCS),DBD,BARAT DAYA,50,28/12/2024 - 27/12/2034,95,1,100.30795161400005,5.33643720200007
,JALAN BATU FERRINGHI,SEK. 2,,BATU FERRINGGI,"SHANGRI-LA RASA SAYANG, BATU FERINGGI BEACH N/A , 11100 BATU FERINGGI PULAU PINANG",,3,100.25417489,07,1058,"5.4781920361012935, 100.25417488586861",2,KAMPUNG TANJUNG HUMA,P.048 - BUKIT BENDERA,5.47819204,1,04,0,2,40057,1767052800000,DTL BATU FERRINGGI SEK. 2,,N.22,EV CONNECTION SDN BHD,070441002,3,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,SHANGRI-LA RASA SAYANG RESORT AND SPA,LA 12/1/16/1276 (D-EVCS),DTL,TIMOR LAUT,44,28/12/2024 - 27/12/2034,96,1,100.25417488600004,5.478192036000053
,LEBUH PEKAKA 1, ,,MUKIM 13,"BANGUNAN LIP SIN, 1A BASEMENT, LEBUH PEKAKA 1, TAMAN PEKAKA, MUKIM 13, 11700 TIMOR LAUT  PULAU PINANG",,4,100.29528514,07,1062,"5.34908257271114, 100.29528513822979

",4,TAMAN PEKAKA,P.052 - BAYAN BARU,5.34908257,0,04,1,4,40059,1767052800000,DTL MUKIM 13,,N.35,GENTARI GREEN MOBILITY SDN. BHD.,070401000,4,P.052, 1A BASEMENT,PULAU PINANG,N.35 - BATU UBAN,BANGUNAN LIP SIN,LA 12/1/16/1218 (D-EVCS),DTL,TIMOR LAUT,43,13/12/2024 - 12/12/2034,97,0,100.29528513800005,5.349082573000032
752,PERSIARAN CASSIA BARAT 8, ,,MUKIM 13,"IKEA BATU KAWAN, 752, PERSIARAN CASSIA BARAT 8, BANDAR CASSIA, MUKIM 13 , 14110 SEBERANG PERAI SELATAN  PULAU PINANG",,3,100.44032418,07,1064,"5.232221511108197, 100.44032418061431",2,BANDAR CASSIA,P.046 - BATU KAWAN,5.23222151,2,03,1,2,30006,1767052800000,SPS MUKIM 13,,N.18,GENTARI GREEN MOBILITY SDN. BHD.,070313000,4,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,IKEA BATU KAWAN,LA 12/1/16/1261 (D-EVCS),SPS,SEBERANG PERAI SELATAN,104,13/12/2024 - 12/12/2034,98,1,100.44032418100005,5.232221511000034
,JALAN ICON CITY, ,,MUKIM 11,"STARBUCKS ICON CITY, GROUND & MEZZANINE FLOOR, 1, JLN ICON CITY, ICON CITY, 14000 BUKIT MERTAJAM  PULAU PINANG",,1,100.43453944,07,1070,"5.3456761203156375, 100.43453943822975",1,ICON CITY,P.046 - BATU KAWAN,5.34567612,0,01,0,1,10026,1767052800000,SPT MUKIM 11,,N.17,GREEN EV CHARGE SDN BHD,070111000,1,P.046,GROUND & MEZZANINE FLOOR,PULAU PINANG,N.17 - BUKIT TENGAH,STARBUCKS ICON CITY,LA 12/1/16/1192 (D-EVCS),SPT,SEBERANG PERAI TENGAH,22,23/12/2024 - 22/12/2034,99,0,100.43453943800006,5.345676120000064
14,LILITAN SUNGAI ARA, ,,MUKIM 10,"GOLDEN TRIANGLE 1 (MBPP), JALAN KHIDMAT JALAN PAYA TERUBONG, 11060 BAYAN LEPAS  PULAU PINANG",,1,100.27556839,07,1107,"5.33245062746905, 100.27556838533312",0,SUNGAI ARA,P.053 - BALIK PULAU,5.33245063,2,05,1,0,50009,1767052800000,DBD MUKIM 10,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070510000,2,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,"GOLDEN TRIANGLE 1 (MBPP),",LA 12/1/16/1254(D-EVCS),DBD,BARAT DAYA,60,13/1/2025 - 12/1/2035,100,1,100.27556838500004,5.332450627000071
100,PERSIARAN BAYAN INDAH, ,,MUKIM 12,"QUEENSBAY MALL LEVEL 5, 100, PERSIARAN BAYAN INDAH, 11900 BAYAN LEPAS PULAU PINANG",,1,100.30635924,07,1128,"5.3342391405980925, 100.30635924471642",1,,P.052 - BAYAN BARU,5.33423914,0,05,1,1,50011,1767052800000,DBD MUKIM 12,,N.36,GREEN EV CHARGE SDN BHD,070512000,1,P.052,LEVEL 5 ,PULAU PINANG,N.36 - PANTAI JEREJAK,QUEENSBAY MALL,LA 12/1/16/1310 (D-EVCS),DBD,BARAT DAYA,3.7,16/1/2025 - 15/1/2035,101,0,100.30635924500007,5.334239141000069
213,JALAN BUKIT GAMBIR, ,,MUKIM 13,"213, JALAN BUKIT GAMBIR, KAMPUNG SEBERANG PAYA, 11950 BAYAN LEPAS  PULAU PINANG",,2,100.29182628,07,1149,"5.3362608499758455, 100.29182628003676",2,KAMPUNG SEBERANG PAYA,P.052 - BAYAN BARU,5.33626085,0,04,1,2,40060,1767052800000,DTL MUKIM 13,,N.35,CARPUT ZAP NETWORK SDN BHD,070401000,2,P.052,,PULAU PINANG,N.35 - BATU UBAN,AC HOTEL PENANG,LA 12/1/16/1280 (D-EVCS),DTL,TIMOR LAUT,44,14/2/2025 - 13/2/2035,102,0,100.29182628000007,5.336260850000031
,JALAN BAYU 1,SEK. 2,,BATU FERRINGGI,"BAYU FERRINGHI CONDOMINIUM, JALAN BAYU 1, BATU FERRINGGI TIMOR LAUT, 11100 PULAU PINANG",,2,100.25718453,07,1159,"5.479838868775711, 100.25718452856205",2,,P.048 - BUKIT BENDERA,5.47983887,0,04,1,2,40061,1767052800000,DTL BATU FERRINGGI SEK. 2,,N.22,CHARGE N GO SDN BHD,070441002,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,BAYU FERRINGHI CONDOMINIUM,LA 12/1/16/1326 (D-EVCS),DTL,TIMOR LAUT,44,20/2/2025 - 19/2/2035,103,0,100.25718452900009,5.479838869000048
9,JALAN CONCORDIA,SEK. 4,,GEORGE TOWN,"MBPP - JALAN CONCORDIA, 9, JALAN CONCORDIA, GEORGETOWN, 10250 GEORGETOWN PULAU PINANG",,1,100.3143449,07,1163,"5.434163301507964, 100.31434490178759",0,,P.048 - BUKIT BENDERA,5.4341633,2,04,1,0,40062,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,CHARGEHERE EV SOLUTION SDN BHD,070444004,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,JALAN CONCORDIA (MBPP),LA 12/1/16/1368 (D-EVCS),DTL,TIMOR LAUT,60,27/2/2025 - 26/2/2035,104,1,100.31434490200007,5.434163302000059
,, ,,MUKIM 13,"ICONIC SKIES, HALAMAN RELAU, 11900 BAYAN LEPAS  PULAU PINANG",,2,100.27310862,07,1164,"5.3383647660688895, 100.27310861831562",1,HALAMAN RELAU,P.051 - BUKIT GELUGOR,5.33836477,2,04,1,1,40063,1767052800000,DTL MUKIM 13,,N.34,CHARGEHERE EV SOLUTION SDN BHD,070401000,3,P.051,,PULAU PINANG,N.34 - PAYA TERUBONG,ICONIC SKIES,LA 12/1/16/1404 (D-EVCS),DTL,TIMOR LAUT,51,27/2/2025 - 26/2/2035,105,1,100.27310861800004,5.338364766000041
NO. 10,GAT LEBUH CHINA,SEK. 23,,GEORGE TOWN,"MBPP GAT LEBUH CHINA, NO 10, GAT LEBUH CHINA, 10200 GEORGETOWN, PULAU PINANG",,1,100.34263841,07,1165,"5.415152051856519, 100.34263840652342",0,,P.049 - TANJONG,5.41515205,2,04,1,0,40064,1767052800000,DTL GEORGE TOWN SEK. 23,,N.26,CHARGEHERE EV SOLUTION SDN BHD,070444023,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,GAT LEBUH CHINA (MBPP),LA 12/1/16/1407 (D-EVCS),DTL,TIMOR LAUT,60,27/2/2025 - 26/2/2035,106,1,100.34263840600005,5.415152052000053
33,LINTANG BATU LANCHANG,SEK. 3,,JELUTONG,"PASAR BATU LANCHANG (MBPP) LINTANG BATU LANCHANG, BATU LANCHANG , 11600 PULAU PINANG",,1,100.30587814,07,1166,"5.389964764649655, 100.30587814015674",0,TAMAN SRI DAMAI,P.050 - JELUTONG,5.38996476,2,04,1,0,40065,1767052800000,DTL JELUTONG SEK. 3,,N.31,CHARGEHERE EV SOLUTION SDN BHD,070445003,2,P.050,,PULAU PINANG,N.31 - BATU LANCANG,PASAR BATU LANCHANG (MBPP),LA 12/1/16/1252 (D-EVCS),DTL,TIMOR LAUT,60,5/2/2025 - 4/2/2035,107,1,100.30587814000006,5.389964765000059
2268,JALAN TANJUNG BUNGA, ,,TANJONG BUNGAH,"MBPP PASAR TANJUNG BUNGAH JALAN TANJUNG BUNGA , TAMAN TANJUNG BUNGA, 11200  TANJUNG BUNGAH PULAU PINANG",,1,100.28505654,07,1171,"5.4633980255123875, 100.28505654434868",0,TAMAN TANJUNG BUNGA,P.048 - BUKIT BENDERA,5.46339803,2,04,1,0,40066,1767052800000,DTL TANJONG BUNGAH,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070446000,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,PASAR TANJUNG BUNGAH (MBPP),LA 12/1/16/1375 (D-EVCS),DTL,TIMOR LAUT,60,27/2/2025 - 26/2/2035,108,1,100.28505654400004,5.46339802600005
NO. 996,JALAN BARU, ,,MUKIM 6,"NISSAN SHOWROOM & SERVICE CENTRE BUTTERWORTH, NO. 996, JALAN BARU, 13700 PERAI  SEBERANG PERAI PULAU PINANG",,1,100.41409935,07,1174,"5.370086429848758, 100.41409935031677",1,,P.044 - PERMATANG PAUH,5.37008643,0,01,1,1,10027,1767052800000,SPT MUKIM 6,,N.10,EDARAN TAN CHONG MOTOR (UTARA) SDN. BHD.,070106000,1,P.044,,PULAU PINANG,N.10 - SEBERANG JAYA,NISSAN SHOWROOM & SERVICE CENTRE BUTTERWORTH,LA 12/1/16/1376 (D-EVCS),SPT,SEBERANG PERAI TENGAH,7,12/2/2025 - 11/2/2035,109,0,100.41409935000007,5.370086430000072
