no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
15,LEBUH LEITH,SEK. 19,,GEORGE TOWN,"THE EDISON GEORGETOWN, 15, MUKIM LEBUH LEITH, GEORGETOWN, DAERAH GEORGETOWN, 10200 GEORGETOWN PULAU PINANG",,2,100.334877,07,374,"5.420897207368989, 100.33487699502871",2,,P.049 - TANJONG,5.42089721,0,04,1,2,40012,1767052800000,DTL GEORGE TOWN SEK. 19,,N.26,JUSEV CHARGING NETWORK SDN. BHD.,070444019,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,THE EDISON GEORGETOWN,LA 12/1/16/469 (D-EVCS),DTL,TIMOR LAUT,44,21/3/2024 - 20/3/2034,21,0,100.33487699500006,5.420897207000053
34C,JALAN BATU FERRINGHI,SEK. 1,,BATU FERRINGGI,"34C, JALAN BATU FERRINGHI, 11100 BATU FERRINGHI PULAU PINANG",,1,100.24478642,07,381,"5.471116515407067, 100.24478641850705",0,KAMPUNG BATU FERRINGHI,P.048 - BUKIT BENDERA,5.47111652,2,04,1,0,40013,1767052800000,DTL BATU FERRINGGI SEK. 1,,N.22,TEMASEK LEADERS SDN. BHD.,070441001,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,FERRINGHI GARDEN RESTAURANT,LA 12/1/16/472 (D-EVCS),DTL,TIMOR LAUT,47,27/3/2024 - 26/3/2034,22,1,100.24478641800005,5.4711165150000625
3068,JALAN TODAK, ,,MUKIM 1,"GROUND FLOOR VALET CAR PARK, SUNWAY CARNIVAL MALL, 3068, JALAN TODAK PUSAT BANDAR SEBARANG JAYA , 13700 SEBERANG JAYA PULAU PINANG",,1,100.39861128,07,382,"5.399746064779581, 100.39861127734302",0,,P.044 - PERMATANG PAUH,5.39974606,4,01,1,0,10009,1767052800000,SPT MUKIM 1,,N.10,TESLA SDN. BHD.,070101000,4,P.044,GROUND FLOOR VALET CAR PARK,PULAU PINANG,N.10 - SEBERANG JAYA,SUNWAY CARNIVAL MALL,LA 12/1/16/521 (D-EVCS),SPT,SEBERANG PERAI TENGAH,250,4/4/2024 - 3/4/2034,23,1,100.39861127700004,5.399746065000045
33,LORONG SETIA SENTRAL 1, ,,MUKIM 6,"33, LORONG SETIA SENTRAL 1, PUSAT PERNIAGAAN SETIA SENTRAL N/A SETIA SENTRAL, 14000 PULAU PINANG",,1,100.41899468,07,393,"5.355209809741574, 100.41899467739879",0,,P.046 - BATU KAWAN,5.35520981,2,01,1,0,10010,1767052800000,SPT MUKIM 6,,N.17,EV CONNECTION SDN BHD,070106000,2,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,PUSAT PERNIAGAAN SETIA SENTRAL,LA 12/1/16/474 (D-EVCS),SPT,SEBERANG PERAI TENGAH,80,20/3/2024 - 19/3/2034,24,1,100.41899467700006,5.355209810000076
,JALAN BARU PERAI, ,,MUKIM 1,"BMW TIAN SIANG PREMIUM AUTO, LOT 6235 JALAN BARU PERAI, 13700 PERAI PULAU PINANG",,1,100.40760408,07,415,"5.3736436818473505, 100.40760407968591",1,,P.046 - BATU KAWAN,5.37364368,0,01,1,1,10011,1767052800000,SPT MUKIM 1,,N.17,GREEN EV CHARGE SDN BHD,070101000,1,P.046,LOT 6235,PULAU PINANG,N.17 - BUKIT TENGAH,BMW TIAN SIANG PREMIUM AUTO,LA 12/1/16/517 (D-EVCS),SPT,SEBERANG PERAI TENGAH,3.7,22/4/2024 - 21/4/2034,25,0,100.40760408000006,5.373643682000022
,SOLOK THEAN TEIK,SEK. 5,,GEORGE TOWN,"BOULEVARD CONDOMINIUM, SOLOK THEAN TEIK, 11500 AIR ITAM PULAU PINANG",,3,100.29439631,07,424,"5.39790923221821, 100.29439630852167",3,,P.051 - BUKIT GELUGOR,5.39790923,0,04,1,3,40014,1767052800000,DTL GEORGE TOWN SEK. 5,,N.33,CHARGEHERE EV SOLUTION SDN BHD,070444005,3,P.051,,PULAU PINANG,N.33 - AIR ITAM,BOULEVARD CONDOMINIUM,LA 12/1/16/580 (D-EVCS),DTL,TIMOR LAUT,33,4/6/2024 - 3/6/2034,26,0,100.29439630800005,5.3979092320000746
,LORONG SETIA SENTRAL 2, ,,MUKIM 6,"LOT 2A, LRG SETIA SENTRAL 2, PUSAT PERNIAGAAN SETIA SENTRAL , 14000 BUKIT MERTAJAM PULAU PINANG",,1,100.41793535,07,435,"5.354830116318838, 100.41793535400244",1,,P.046 - BATU KAWAN,5.35483012,0,01,1,1,10012,1767052800000,SPT MUKIM 6,,N.17,EV CONNECTION SDN BHD,070106000,1,P.046,LOT 2A,PULAU PINANG,N.17 - BUKIT TENGAH,PUSAT PERNIAGAAN SETIA SENTRAL,LA 12/1/16/593 (D-EVCS),SPT,SEBERANG PERAI TENGAH,22,27/5/2024 - 26/5/2034,27,0,100.41793535400006,5.354830116000073
4767,LORONG PERMATANG PAUH,SEK. 3,,BUTTERWORTH,"4767, LORONG PERMATANG PAUH TAMAN BAGAN , 13400 BUTTERWORTH PULAU PINANG",,3,100.38432614,07,437,"5.41373852338978, 100.38432613735738",3,TAMAN BAGAN,P.043 - BAGAN,5.41373852,0,02,1,3,20001,1767052800000,SPU BUTTERWORTH SEK. 3,,N.09,EV CONNECTION SDN BHD,070240003,3,P.043,,PULAU PINANG,N.09 - BAGAN DALAM,BAGAN SUITE HOTEL,LA 12/1/16/634 (D-EVCS),SPU,SEBERANG PERAI UTARA,66,27/5/2024 - 26/5/2034,28,0,100.38432613700007,5.413738523000063
118,JALAN TANJUNG TOKONG ,SEK. 2,,TANJONG TOKONG,"118, JALAN TANJUNG TOKONG SERI TANJUNG PINANG , 10470 GEORGETOWN PULAU PINANG",,4,100.3060831,07,440,"5.45079494035841, 100.30608309687827",3,,P.048 - BUKIT BENDERA,5.45079494,1,04,1,3,40015,1767052800000,DTL TANJONG TOKONG SEK. 2,,N.25,EV CONNECTION SDN BHD,070447002,4,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,ISLAND 88,LA 12/1/16/482 (D-EVCS),DTL,TIMOR LAUT,81,30/4/2024 - 29/4/2034,29,1,100.30608309700006,5.450794940000037
,JALAN OREN,SEK. 1,,BUTTERWORTH,"TEALIVE BAGAN AJAM, JALAN OREN, MUKIM TAMAN TERBILANG, 13000 BUTTERWORTH PULAU PINANG",,1,100.38213184,07,450,"5.440393263186072, 100.38213183550805",1,,P.043 - BAGAN,5.44039326,0,02,1,1,20002,1767052800000,SPU BUTTERWORTH SEK. 1,,N.07,EV CONNECTION SDN BHD,070240001,1,P.043,,PULAU PINANG,N.07 - SUNGAI PUYU,TEALIVE BAGAN AJAM,LA 12/1/16/578 (D-EVCS),SPU,SEBERANG PERAI UTARA,22,30/4/2024 - 29/4/2034,30,0,100.38213183500005,5.440393263000033
191,JALAN MAGAZINE,SEK. 11(w),,GEORGE TOWN,"THE GRANITE LUXURY HOTEL PENANG, 191, JALAN MAGAZINE, GEORGETOWN, 10300 GEORGETOWN PULAU PINANG",,1,100.32961858,07,466,"5.413502382304582, 100.32961858335123",0,,P.049 - TANJONG,5.41350238,1,04,1,0,40016,1767052800000,DTL GEORGE TOWN SEK. 11(w),,N.27,EV CONNECTION SDN BHD,070444026,1,P.049,,PULAU PINANG,N.27 - PENGKALAN KOTA,THE GRANITE LUXURY HOTEL PENANG,LA 12/1/16/629 (D-EVCS),DTL,TIMOR LAUT,50,28/5/2024 - 27/5/2034,31,1,100.32961858300007,5.413502382000047
